Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group
Adamant DRI Processing and Minerals Group (OTCPK:ADMG),OTCPK:ADMG,Advertising,Communication Services,7312,United States,United States
"AdTheorent Holding Company, Inc. (NasdaqCM:ADTH)",NasdaqCM:ADTH,Advertising,Communication Services,7370,United States,United States
Advantage Solutions Inc. (NasdaqGS:ADV),NasdaqGS:ADV,Advertising,Communication Services,8742,United States,United States
"AiAdvertising, Inc. (OTCPK:AIAD)",OTCPK:AIAD,Advertising,Communication Services,7310,United States,United States
Asset Entities Inc. (NasdaqCM:ASST),NasdaqCM:ASST,Advertising,Communication Services,7311,United States,United States
Boston Omaha Corporation (NYSE:BOC),NYSE:BOC,Advertising,Communication Services,7310,United States,United States
"Bright Mountain Media, Inc. (OTCPK:BMTM)",OTCPK:BMTM,Advertising,Communication Services,7310,United States,United States
"Cardlytics, Inc. (NasdaqGM:CDLX)",NasdaqGM:CDLX,Advertising,Communication Services,7370,United States,United States
"Clear Channel Outdoor Holdings, Inc. (NYSE:CCO)",NYSE:CCO,Advertising,Communication Services,7310,United States,United States
"Clubhouse Media Group, Inc. (OTCPK:CMGR)",OTCPK:CMGR,Advertising,Communication Services,7310,United States,United States
"CMG Holdings Group, Inc. (OTCPK:CMGO)",OTCPK:CMGO,Advertising,Communication Services,7310,United States,United States
"Collective Audience, Inc. (NasdaqGM:CAUD)",NasdaqGM:CAUD,Advertising,Communication Services,7310,United States,United States
"comScore, Inc. (NasdaqGS:SCOR)",NasdaqGS:SCOR,Advertising,Communication Services,7370,United States,United States
"Creative Realities, Inc. (NasdaqCM:CREX)",NasdaqCM:CREX,Advertising,Communication Services,7372,United States,United States
"Digital Brand Media & Marketing Group, Inc. (OTCPK:DBMM)",OTCPK:DBMM,Advertising,Communication Services,7310,United States,United States
"Digital Media Solutions, Inc. (OTCPK:DMSL)",OTCPK:DMSL,Advertising,Communication Services,7310,United States,United States
"Direct Digital Holdings, Inc. (NasdaqCM:DRCT)",NasdaqCM:DRCT,Advertising,Communication Services,7311,United States,United States
Ecom Products Group Corporation (OTCPK:EPGC),OTCPK:EPGC,Advertising,Communication Services,7319,United States,United States
"Electronic Servitor Publication Network, Inc. (OTCPK: XESP)",OTCPK: XESP,Advertising,Communication Services,7311,United States,United States
"Emerald Holding, Inc. (NYSE:EEX)",NYSE:EEX,Advertising,Communication Services,7389,United States,United States
Entravision Communications Corporation (NYSE:EVC),NYSE:EVC,Advertising,Communication Services,7310,United States,United States
"Fluent, Inc. (NasdaqCM:FLNT)",NasdaqCM:FLNT,Advertising,Communication Services,8742,United States,United States
Genuine Marketing Group Inc. (OTCPK:GMGZ),OTCPK:GMGZ,Advertising,Communication Services,7311,United States,United States
GHST World Inc. (OTCPK:GHST),OTCPK:GHST,Advertising,Communication Services,3663,United States,United States
"Harte Hanks, Inc. (NasdaqGM:HHS)",NasdaqGM:HHS,Advertising,Communication Services,7331,United States,United States
"Holistic Asset Finance Group Co., Ltd. (OTCPK:HAFG)",OTCPK:HAFG,Advertising,Communication Services,7310,United States,United States
Innovid Corp. (NYSE:CTV),NYSE:CTV,Advertising,Communication Services,7310,United States,United States
Integral Ad Science Holding Corp. (NasdaqGS:IAS),NasdaqGS:IAS,Advertising,Communication Services,7370,United States,United States
"International Consolidated Companies, Inc. (OTCPK:INCC)",OTCPK:INCC,Advertising,Communication Services,7310,United States,United States
International Digital Holding Inc. (OTCPK:IDIG),OTCPK:IDIG,Advertising,Communication Services,7319,United States,United States
"Lendway, Inc. (NasdaqCM:LDWY)",NasdaqCM:LDWY,Advertising,Communication Services,7310,United States,United States
LQR House Inc. (NasdaqCM:LQR),NasdaqCM:LQR,Advertising,Communication Services,7311,United States,United States
"Magnite, Inc. (NasdaqGS:MGNI)",NasdaqGS:MGNI,Advertising,Communication Services,7310,United States,United States
"Marchex, Inc. (NasdaqGS:MCHX)",NasdaqGS:MCHX,Advertising,Communication Services,7389,United States,United States
"Mastermind, Inc. (OTCPK:MMND)",OTCPK:MMND,Advertising,Communication Services,7310,United States,United States
"Mobiquity Technologies, Inc. (OTCPK:MOBQ)",OTCPK:MOBQ,Advertising,Communication Services,7310,United States,United States
"National CineMedia, Inc. (NasdaqGS:NCMI)",NasdaqGS:NCMI,Advertising,Communication Services,7310,United States,United States
"NextMart, Inc. (OTCPK:NXMR)",OTCPK:NXMR,Advertising,Communication Services,7389,United States,United States
"NextPlay Technologies, Inc. (NasdaqCM:NXTP)",NasdaqCM:NXTP,Advertising,Communication Services,7310,United States,United States
Omnicom Group Inc. (NYSE:OMC),NYSE:OMC,Advertising,Communication Services,7311,United States,United States
"PubMatic, Inc. (NasdaqGM:PUBM)",NasdaqGM:PUBM,Advertising,Communication Services,7370,United States,United States
Sabio Holdings Inc. (TSXV:SBIO),TSXV:SBIO,Advertising,Communication Services,7310,United States,United States
"Sibannac, Inc. (OTCPK:SNNC)",OTCPK:SNNC,Advertising,Communication Services,2833,United States,United States
"SPAR Group, Inc. (NasdaqCM:SGRP)",NasdaqCM:SGRP,Advertising,Communication Services,7389,United States,United States
"Specificity, Inc. (OTCPK:SPTY)",OTCPK:SPTY,Advertising,Communication Services,7311,United States,United States
Stagwell Inc. (NasdaqGS:STGW),NasdaqGS:STGW,Advertising,Communication Services,7310,United States,United States
"Stran & Company, Inc. (NasdaqCM:SWAG)",NasdaqCM:SWAG,Advertising,Communication Services,7311,United States,United States
"TechTarget, Inc. (NasdaqGM:TTGT)",NasdaqGM:TTGT,Advertising,Communication Services,7310,United States,United States
"The Interpublic Group of Companies, Inc. (NYSE:IPG)",NYSE:IPG,Advertising,Communication Services,7311,United States,United States
